待ち牌のロス数,手牌,ロスの内訳
6,1234566789,1s3枚 2s3枚
6,1234666678,7s3枚 8s3枚
6,1234678999,7s3枚 8s3枚
6,1234777789,8s3枚 9s3枚
6,1234777888,7s1枚 8s1枚 9s4枚
6,1234777999,7s1枚 8s4枚 9s1枚
6,1234778899,7s2枚 8s2枚 9s2枚
6,1234788889,7s3枚 9s3枚
6,1234789999,7s3枚 8s3枚
6,1234888999,7s4枚 8s1枚 9s1枚
6,1235555678,1s3枚 2s3枚
6,1235566778,1s3枚 2s3枚
6,1235666678,1s3枚 2s3枚
6,1235667788,1s3枚 2s3枚
6,1235677778,1s3枚 2s3枚
6,1235677889,1s3枚 2s3枚
6,1235678888,1s3枚 2s3枚
6,1235678999,1s3枚 2s3枚
6,2222344678,7s3枚 8s3枚
6,2222345789,8s3枚 9s3枚
6,2223334446,2s1枚 3s1枚 9s4枚
6,2223334678,7s3枚 8s3枚
6,2223335677,1s4枚 2s1枚 3s1枚
6,2223336678,1s4枚 2s1枚 3s1枚
6,2223336789,1s4枚 2s1枚 3s1枚
6,2223345678,7s3枚 8s3枚
6,2224566999,1s4枚 2s1枚 9s1枚
6,2225567999,1s4枚 2s1枚 9s1枚
6,2233344457,1s4枚 3s1枚 4s1枚
6,2233444566,2s2枚 9s4枚
6,2233444678,7s3枚 8s3枚
6,2233445556,3s2枚 9s4枚
6,2233445789,8s3枚 9s3枚
6,2234455667,6s2枚 9s4枚
6,2333344678,7s3枚 8s3枚
6,2333345789,8s3枚 9s3枚
6,2333444557,1s4枚 3s1枚 4s1枚
6,2333445678,7s3枚 8s3枚
6,2334445678,7s3枚 8s3枚
6,2334455789,8s3枚 9s3枚
6,2344445677,2s3枚 3s3枚
6,2344445789,8s3枚 9s3枚
6,2344446678,2s3枚 3s3枚
6,2344446789,2s3枚 3s3枚
6,2344456789,8s3枚 9s3枚
6,2344555678,7s3枚 8s3枚
6,2344556789,8s3枚 9s3枚
6,2344666678,7s3枚 8s3枚
6,2344678999,7s3枚 8s3枚
6,2344777789,8s3枚 9s3枚
6,2344777888,7s1枚 8s1枚 9s4枚
6,2344777999,7s1枚 8s4枚 9s1枚
6,2344778899,7s2枚 8s2枚 9s2枚
6,2344788889,7s3枚 9s3枚
6,2344789999,7s3枚 8s3枚
6,2344888999,7s4枚 8s1枚 9s1枚
6,2345555677,2s3枚 3s3枚
